"Nombre del anuncio",Día,Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe"
"Video parejas amor",2025-07-31,196,219,1.11734694,,CLP,394,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.36986301,131.33333333,1799.08675799,,,74,8,4,3,3,2,,2025-07-31,2025-07-31
"Video parejas amor",2025-07-31,7,7,1,,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,571.42857143,,,1,,,,,,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,737,905,1.22795115,,CLP,1562,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.76243094,62.48,1725.96685083,,,175,37,19,11,10,6,,2025-07-31,2025-07-31
"Video explicando servicio corto",2025-07-31,1693,1844,1.08919079,,CLP,1886,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,3.52494577,29.01538462,1022.77657267,,,536,353,261,164,80,70,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,160,177,1.10625,,CLP,384,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,3.95480226,54.85714286,2169.49152542,,,44,7,3,2,2,2,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-30,366,407,1.11202186,,CLP,598,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.93120393,37.375,1469.28746929,,,96,15,9,7,4,4,,2025-07-30,2025-07-30
"Video explicando servicio corto",2025-07-30,1305,1502,1.15095785,,CLP,1431,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,3.72836218,25.55357143,952.72969374,,,484,337,247,157,78,67,,2025-07-30,2025-07-30
"Video explicando servicio corto",2025-07-30,1595,1740,1.09090909,,CLP,1599,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,2.64367816,34.76086957,918.96551724,,,548,385,274,180,81,72,,2025-07-30,2025-07-30
"Video flo",2025-07-30,457,598,1.30853392,,CLP,1513,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,5.68561873,44.5,2530.10033445,,,158,103,81,65,57,56,,2025-07-30,2025-07-30
"Video Explicando servicio corto",2025-07-30,567,681,1.2010582,,CLP,1415,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,1.90895742,108.84615385,2077.8267254,,,171,45,30,19,13,12,,2025-07-30,2025-07-30
"Video parejas amor",2025-07-30,186,213,1.14516129,,CLP,420,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,0.46948357,420,1971.83098592,,,74,7,,,,,,2025-07-30,2025-07-30
"Video Lluvia Reseña",2025-07-30,568,696,1.22535211,,CLP,1467,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.5862069,81.5,2107.75862069,,,132,18,10,8,4,3,,2025-07-30,2025-07-30
"Video Martin gallardo",2025-07-30,766,1011,1.31984334,,CLP,2146,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",18,3.56083086,59.61111111,2122.65084075,,,279,142,112,86,63,54,,2025-07-30,2025-07-30
"Video explicando servicio corto",2025-07-30,832,957,1.15024038,,CLP,1244,"7 días tras clic o 1 día tras visualización",10,2.71682341,47.84615385,1299.89550679,,,282,166,110,75,37,31,,2025-07-30,2025-07-30
"Video Lluvia",2025-07-30,42,44,1.04761905,,CLP,42,"7 días tras clic o 1 día tras visualización",2,9.09090909,10.5,954.54545455,,,12,3,1,,,,,2025-07-30,2025-07-30
"Video Lluvia",2025-07-30,1,1,1,,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,,2025-07-30,2025-07-30
"Video Viral TikTok",2025-07-30,1438,1732,1.20445063,,CLP,2251,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,2.82909931,45.93877551,1299.65357968,,,543,96,41,31,26,15,,2025-07-30,2025-07-30
"Video Lluvia",2025-07-30,778,975,1.25321337,,CLP,1493,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,3.8974359,39.28947368,1531.28205128,,,190,39,16,13,9,8,,2025-07-30,2025-07-30
"Video Lluvia",2025-07-30,967,1107,1.14477766,,CLP,1433,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.52935863,51.17857143,1294.48961156,,,245,35,14,10,7,5,,2025-07-30,2025-07-30
"Video parejas amor",2025-07-30,139,160,1.15107914,,CLP,283,"7 días tras clic o 1 día tras visualización",,2.5,70.75,1768.75,,,72,8,3,1,1,,,2025-07-30,2025-07-30
"Video parejas amor",2025-07-30,987,1238,1.25430598,,CLP,1895,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",18,2.50403877,61.12903226,1530.69466882,,,397,40,14,10,7,4,,2025-07-30,2025-07-30
"Video Lluvia",2025-07-30,620,815,1.31451613,,CLP,1517,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.33128834,79.84210526,1861.34969325,,,165,34,14,10,6,5,,2025-07-30,2025-07-30
"Video explicando servicio corto",2025-07-30,1556,1889,1.21401028,,CLP,2211,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,3.388036,34.546875,1170.46056114,,,523,369,250,163,91,82,,2025-07-30,2025-07-30
"Video Viral TikTok",2025-07-12,0,0,0,,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,6,0,,,,,,,,2025-07-12,2025-07-12
"Video parejas dcto",2025-07-11,54,58,1.07407407,,CLP,118,"7 días tras clic o 1 día tras visualización",,1.72413793,118,2034.48275862,,,22,5,1,,,,,2025-07-11,2025-07-11
"Video Viral TikTok",2025-07-11,992,1098,1.10685484,,CLP,1458,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,3.00546448,44.18181818,1327.86885246,,,298,53,20,12,6,1,,2025-07-11,2025-07-11
"Video Lluvia",2025-07-11,10,11,1.1,,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1363.63636364,,,2,,,,,,,2025-07-11,2025-07-11
"Video Lluvia",2025-07-11,43,48,1.11627907,,CLP,52,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.08333333,52,1083.33333333,,,11,,,,,,,2025-07-11,2025-07-11
"Video explicando servicio corto",2025-07-11,328,336,1.02439024,,CLP,365,"7 días tras clic o 1 día tras visualización",7,5.35714286,20.27777778,1086.30952381,,,101,77,58,32,14,14,,2025-07-11,2025-07-11
"Video parejas amor",2025-07-11,1,1,1,,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2000,,,1,,,,,,,2025-07-11,2025-07-11
"Video parejas amor",2025-07-11,6,6,1,,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,500,,,2,1,1,,,,,2025-07-11,2025-07-11
"Video explicando servicio corto",2025-07-11,929,1028,1.1065662,,CLP,1651,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,3.40466926,47.17142857,1606.0311284,,,269,197,152,99,50,45,,2025-07-11,2025-07-11
"Video Lluvia",2025-07-11,31,35,1.12903226,,CLP,49,"7 días tras clic o 1 día tras visualización",1,5.71428571,24.5,1400,,,5,,,,,,,2025-07-11,2025-07-11
"Video Lluvia",2025-07-11,620,741,1.19516129,,CLP,1452,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.6194332,121,1959.51417004,,,122,14,7,4,2,2,,2025-07-11,2025-07-11
"Video pareja dcto",2025-07-11,1,2,2,,CLP,4,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2000,,,,,,,,,,2025-07-11,2025-07-11
"Video pareja dcto",2025-07-11,292,328,1.12328767,,CLP,493,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.13414634,70.42857143,1503.04878049,,,119,7,,,,,,2025-07-11,2025-07-11
"Video explicando servicio corto",2025-07-11,199,205,1.03015075,,CLP,161,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,2.43902439,32.2,785.36585366,,,57,39,32,16,6,6,,2025-07-11,2025-07-11
"Video explicando servicio corto",2025-07-11,518,531,1.02509653,,CLP,515,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,5.08474576,19.07407407,969.86817326,,,181,127,93,56,30,29,,2025-07-11,2025-07-11
"Video pareja dcto",2025-07-11,203,217,1.06896552,,CLP,352,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.30414747,70.4,1622.11981567,,,80,9,1,1,1,1,,2025-07-11,2025-07-11
"Video parejas amor",2025-07-10,1,1,1,,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,,,,,,,,2025-07-10,2025-07-10
"Video Viral TikTok",2025-07-10,2696,3220,1.19436202,,CLP,4148,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",42,2.95031056,43.66315789,1288.19875776,,,813,136,68,51,32,20,,2025-07-10,2025-07-10
"Video Lluvia",2025-07-10,1,1,1,,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,,,,,,,,2025-07-10,2025-07-10
"Video parejas amor",2025-07-10,555,646,1.16396396,,CLP,878,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.40557276,39.90909091,1359.13312693,,,231,21,6,2,1,1,,2025-07-10,2025-07-10
"Video pareja dcto",2025-07-10,306,354,1.15686275,,CLP,526,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,3.67231638,40.46153846,1485.87570621,,,102,19,7,4,3,3,,2025-07-10,2025-07-10
"Video Lluvia",2025-07-10,24,24,1,,CLP,28,"7 días tras clic o 1 día tras visualización",,4.16666667,28,1166.66666667,,,4,1,1,,,,,2025-07-10,2025-07-10
"Video Lluvia",2025-07-10,1655,2108,1.27371601,,CLP,4112,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,2.13472486,91.37777778,1950.66413662,,,356,50,31,22,19,14,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-10,1145,1198,1.04628821,,CLP,1514,"7 días tras clic o 1 día tras visualización",25,5.17529215,24.41935484,1263.77295492,,,376,249,183,120,59,51,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-10,1796,1966,1.09465479,1,CLP,1853,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.95015259,31.94827586,942.52288911,,,606,447,310,206,107,96,1853,2025-07-10,2025-07-10
"Video parejas dcto",2025-07-10,93,101,1.08602151,,CLP,136,"7 días tras clic o 1 día tras visualización",,4.95049505,27.2,1346.53465347,,,37,3,2,2,2,,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-10,1487,1591,1.06993948,,CLP,1441,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,4.77686989,18.96052632,905.71967316,,,491,347,261,163,89,82,,2025-07-10,2025-07-10
"Video pareja dcto",2025-07-10,13,14,1.07692308,,CLP,22,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1571.42857143,,,4,,,,,,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-10,2598,3082,1.18629715,,CLP,4640,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,2.9201817,51.55555556,1505.51589877,,,807,602,450,298,173,154,,2025-07-10,2025-07-10
"Video parejas amor",2025-07-10,24,26,1.08333333,,CLP,37,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1423.07692308,,,11,1,1,,,,,2025-07-10,2025-07-10
"Video parejas amor",2025-07-10,235,271,1.15319149,,CLP,513,"7 días tras clic o 1 día tras visualización",2,2.58302583,73.28571429,1892.98892989,,,107,9,3,3,3,1,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-10,1501,1639,1.09193871,,CLP,1386,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,3.29469189,25.66666667,845.63758389,,,471,329,239,157,74,64,,2025-07-10,2025-07-10
"Video explicando servicio corto",2025-07-09,1225,1364,1.11346939,,CLP,1804,"7 días tras clic o 1 día tras visualización",23,4.3255132,30.57627119,1322.58064516,,,427,311,234,156,85,76,,2025-07-09,2025-07-09
"Video parejas amor",2025-07-09,312,326,1.04487179,,CLP,511,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,4.29447853,36.5,1567.48466258,,,138,15,7,4,4,2,,2025-07-09,2025-07-09
"Video explicando servicio corto",2025-07-09,2434,2815,1.15653246,,CLP,4229,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",43,2.87744227,52.20987654,1502.30905861,,,802,614,429,288,168,156,,2025-07-09,2025-07-09
"Video parejas dcto",2025-07-09,50,50,1,,CLP,87,"7 días tras clic o 1 día tras visualización",,0,0,1740,,,18,2,1,,,,,2025-07-09,2025-07-09
"Video explicando servicio corto",2025-07-09,1307,1369,1.04743688,,CLP,1260,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.65230095,25.2,920.3798393,,,432,299,221,144,60,55,,2025-07-09,2025-07-09
"Video parejas amor",2025-07-09,13,15,1.15384615,,CLP,28,"7 días tras clic o 1 día tras visualización",,0,0,1866.66666667,,,10,2,1,1,,,,2025-07-09,2025-07-09
"Video Lluvia",2025-07-09,1372,1824,1.32944606,1,CLP,4352,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,2.19298246,108.8,2385.96491228,,,323,45,18,15,10,7,4352,2025-07-09,2025-07-09
"Video Lluvia",2025-07-09,2,2,1,,CLP,7,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,50,7,3500,,,1,,,,,,,2025-07-09,2025-07-09
"Video parejas amor",2025-07-09,446,511,1.14573991,,CLP,903,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.56555773,112.875,1767.12328767,,,184,16,5,1,1,,,2025-07-09,2025-07-09
"Video pareja dcto",2025-07-09,4,4,1,,CLP,7,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1750,,,,,,,,,,2025-07-09,2025-07-09
"Video explicando servicio corto",2025-07-09,1003,1079,1.07577268,,CLP,1108,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,4.91195551,20.90566038,1026.87673772,,,359,280,213,143,80,78,,2025-07-09,2025-07-09
"Video parejas amor",2025-07-09,42,43,1.02380952,,CLP,106,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2465.11627907,,,11,1,,,,,,2025-07-09,2025-07-09
"Video explicando servicio corto",2025-07-09,1885,2034,1.07904509,,CLP,1820,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.04818092,29.35483871,894.7885939,,,642,458,334,212,100,90,,2025-07-09,2025-07-09
"Video Lluvia",2025-07-09,14,14,1,,CLP,23,"7 días tras clic o 1 día tras visualización",,7.14285714,23,1642.85714286,,,2,,,,,,,2025-07-09,2025-07-09
"Video Viral TikTok",2025-07-09,2556,3012,1.17840376,4,CLP,3880,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,2.49003984,51.73333333,1288.18061089,4,970,816,144,75,50,33,24,970,2025-07-09,2025-07-09
"Video pareja dcto",2025-07-09,4,4,1,,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1250,,,3,,,,,,,2025-07-09,2025-07-09
"Video pareja dcto",2025-07-09,20,20,1,2,CLP,35,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1750,,,5,1,,,,,17.5,2025-07-09,2025-07-09
"Video parejas amor",2025-07-09,1,1,1,,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,1,,,,,,,2025-07-09,2025-07-09
"Video Lluvia",2025-07-08,1450,1871,1.29034483,,CLP,4061,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,2.19134153,99.04878049,2170.4970604,,,326,56,25,16,13,11,,2025-07-08,2025-07-08
"Video pareja dcto",2025-07-08,338,374,1.10650888,,CLP,744,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,1.06951872,186,1989.30481283,1,744,88,7,2,2,1,1,,2025-07-08,2025-07-08
"Video parejas amor",2025-07-08,17,17,1,,CLP,19,"7 días tras clic o 1 día tras visualización",,0,0,1117.64705882,,,8,1,,,,,,2025-07-08,2025-07-08
"Video explicando servicio corto",2025-07-08,2132,2258,1.05909944,,CLP,1937,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.32152347,25.82666667,857.83879539,,,692,489,371,212,115,96,,2025-07-08,2025-07-08
"Video Lluvia",2025-07-08,19,20,1.05263158,,CLP,33,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1650,,,3,,,,,,,2025-07-08,2025-07-08
"Video Lluvia",2025-07-08,56,60,1.07142857,,CLP,92,"7 días tras clic o 1 día tras visualización",1,5,30.66666667,1533.33333333,,,19,3,,,,,,2025-07-08,2025-07-08
"Video parejas dcto",2025-07-08,35,36,1.02857143,,CLP,69,"7 días tras clic o 1 día tras visualización",,0,0,1916.66666667,,,12,,,,,,,2025-07-08,2025-07-08
"Video explicando servicio corto",2025-07-08,1531,1587,1.0365774,,CLP,1809,"7 días tras clic o 1 día tras visualización",23,3.46565848,32.89090909,1139.88657845,,,454,319,224,135,76,66,,2025-07-08,2025-07-08
"Video Lluvia",2025-07-08,122,129,1.05737705,,CLP,169,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.5503876,84.5,1310.07751938,,,24,4,4,2,,,,2025-07-08,2025-07-08
"Video explicando servicio corto",2025-07-08,3583,4184,1.16773653,,CLP,4872,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",55,3.39388145,34.30985915,1164.43594646,,,1091,836,611,381,204,188,,2025-07-08,2025-07-08
"Video Lluvia",2025-07-08,215,245,1.13953488,,CLP,333,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,4.08163265,33.3,1359.18367347,,,71,17,8,3,3,,,2025-07-08,2025-07-08
"Video Lluvia",2025-07-08,72,75,1.04166667,,CLP,106,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.66666667,21.2,1413.33333333,,,21,5,3,2,1,1,,2025-07-08,2025-07-08
"Video explicando servicio corto",2025-07-08,1912,2110,1.10355649,,CLP,1775,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,3.88625592,21.64634146,841.23222749,,,673,489,365,234,130,111,,2025-07-08,2025-07-08
"Video Viral TikTok",2025-07-08,2867,3314,1.1559121,1,CLP,4164,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,3.1985516,39.28301887,1256.48762824,2,2082,924,169,75,53,34,21,4164,2025-07-08,2025-07-08
"Video explicando servicio corto",2025-07-08,2457,2725,1.10907611,,CLP,2024,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",49,3.59633028,20.65306122,742.75229358,,,836,594,429,278,145,129,,2025-07-08,2025-07-08
"Video parejas amor",2025-07-07,137,148,1.08029197,,CLP,292,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.02702703,97.33333333,1972.97297297,,,42,4,2,1,1,,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-07,1946,2124,1.09146968,,CLP,1512,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",42,4.80225989,14.82352941,711.86440678,,,709,526,387,240,128,111,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,16,16,1,,CLP,12,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,6.25,12,750,,,8,1,1,1,1,1,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,33,33,1,,CLP,76,"7 días tras clic o 1 día tras visualización",3,21.21212121,10.85714286,2303.03030303,,,11,2,2,2,1,,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,58,60,1.03448276,,CLP,67,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1116.66666667,,,17,6,3,3,1,1,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-07,1907,2059,1.07970635,,CLP,1664,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",31,3.108305,26,808.15930063,,,705,479,352,235,112,98,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-07,1335,1450,1.08614232,,CLP,1318,"7 días tras clic o 1 día tras visualización",22,4.4137931,20.59375,908.96551724,,,452,308,235,161,81,73,,2025-07-07,2025-07-07
"Video Viral TikTok",2025-07-07,3589,3965,1.10476456,,CLP,4072,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",38,2.82471627,36.35714286,1026.98612863,,,1101,197,82,46,35,22,,2025-07-07,2025-07-07
"Video pareja dcto",2025-07-07,142,149,1.04929577,,CLP,232,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.01342282,77.33333333,1557.04697987,,,53,5,2,2,,,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-07,3555,3912,1.10042194,,CLP,3916,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",61,3.24642127,30.83464567,1001.02249489,,,1135,854,626,393,239,214,,2025-07-07,2025-07-07
"Video pareja dcto",2025-07-07,146,151,1.03424658,,CLP,178,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.64900662,44.5,1178.80794702,,,52,7,2,2,2,2,,2025-07-07,2025-07-07
"Video parejas amor",2025-07-07,284,317,1.11619718,,CLP,580,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,3.15457413,58,1829.65299685,,,124,16,8,6,4,3,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,56,62,1.10714286,,CLP,65,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,3.22580645,32.5,1048.38709677,,,12,2,1,,,,,2025-07-07,2025-07-07
"Video parejas amor",2025-07-07,147,149,1.01360544,,CLP,203,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.01342282,67.66666667,1362.41610738,,,68,7,2,1,1,,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-07,1297,1375,1.06013878,,CLP,1074,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,4.14545455,18.84210526,781.09090909,,,451,326,229,145,65,59,,2025-07-07,2025-07-07
"Video parejas amor",2025-07-07,165,168,1.01818182,,CLP,212,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.97619048,42.4,1261.9047619,,,75,12,3,1,1,,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,1917,2322,1.21126761,,CLP,4025,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,1.9379845,89.44444444,1733.41946598,2,2012.5,436,63,28,19,14,9,,2025-07-07,2025-07-07
"Video Lluvia",2025-07-07,39,40,1.02564103,,CLP,32,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,800,,,12,,,,,,,2025-07-07,2025-07-07
"Video parejas dcto",2025-07-07,285,314,1.10175439,,CLP,535,"7 días tras clic o 1 día tras visualización",4,4.45859873,38.21428571,1703.82165605,,,137,11,3,3,2,,,2025-07-07,2025-07-07
"Video parejas amor",2025-07-07,78,79,1.01282051,,CLP,108,"7 días tras clic o 1 día tras visualización",2,5.06329114,27,1367.08860759,,,36,4,1,,,,,2025-07-07,2025-07-07
"Video pareja dcto",2025-07-07,211,237,1.12322275,,CLP,296,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.9535865,42.28571429,1248.94514768,,,92,10,3,2,2,,,2025-07-07,2025-07-07
"Video pareja dcto",2025-07-07,979,1118,1.14198161,,CLP,1736,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,1.34168157,115.73333333,1552.77280859,,,290,31,9,8,5,4,,2025-07-07,2025-07-07
"Video explicando servicio corto",2025-07-06,1245,1356,1.08915663,,CLP,1187,"7 días tras clic o 1 día tras visualización",19,3.61356932,24.2244898,875.36873156,,,440,305,225,142,74,63,,2025-07-06,2025-07-06
"Video pareja dcto",2025-07-06,1292,1569,1.21439628,,CLP,2137,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.35818993,57.75675676,1362.01402167,,,549,62,20,14,13,10,,2025-07-06,2025-07-06
"Video parejas amor",2025-07-06,1177,1372,1.16567545,,CLP,2109,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.98833819,51.43902439,1537.17201166,,,492,53,11,3,2,1,,2025-07-06,2025-07-06
"Video parejas amor",2025-07-06,1236,1396,1.12944984,,CLP,2111,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.72492837,40.59615385,1512.17765043,,,576,43,15,11,9,4,,2025-07-06,2025-07-06
"Video Lluvia",2025-07-06,1890,2336,1.23597884,,CLP,4079,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,2.65410959,65.79032258,1746.14726027,,,474,82,27,22,14,11,,2025-07-06,2025-07-06
"Video Viral TikTok",2025-07-06,3461,3993,1.1537128,,CLP,4038,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",71,3.50613574,28.84285714,1011.26972201,,,1113,191,91,53,36,25,,2025-07-06,2025-07-06
"Video parejas amor",2025-07-06,1892,2459,1.29968288,,CLP,5090,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,1.74867832,118.37209302,2069.94713298,,,702,70,21,9,5,4,,2025-07-06,2025-07-06
"Video parejas dcto",2025-07-06,62,66,1.06451613,,CLP,125,"7 días tras clic o 1 día tras visualización",1,7.57575758,25,1893.93939394,,,32,5,2,2,1,1,,2025-07-06,2025-07-06
"Video parejas amor",2025-07-06,324,387,1.19444444,,CLP,604,"7 días tras clic o 1 día tras visualización",5,4.65116279,33.55555556,1560.72351421,,,142,17,4,2,2,,,2025-07-06,2025-07-06
"Video Lluvia",2025-07-06,52,55,1.05769231,,CLP,78,"7 días tras clic o 1 día tras visualización",,3.63636364,39,1418.18181818,,,15,4,2,1,,,,2025-07-06,2025-07-06
"Video parejas dcto",2025-07-05,47,48,1.0212766,,CLP,60,"7 días tras clic o 1 día tras visualización",,2.08333333,60,1250,,,19,,,,,,,2025-07-05,2025-07-05
"Video Lluvia",2025-07-05,33,36,1.09090909,,CLP,84,"7 días tras clic o 1 día tras visualización",1,11.11111111,21,2333.33333333,,,9,4,2,,,,,2025-07-05,2025-07-05
"Video parejas amor",2025-07-05,1693,2352,1.38924985,,CLP,4630,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,1.74319728,112.92682927,1968.53741497,,,621,55,21,14,11,10,,2025-07-05,2025-07-05
"Video parejas amor",2025-07-05,1227,1402,1.14262429,,CLP,1776,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.56776034,49.33333333,1266.7617689,,,544,45,17,9,9,7,,2025-07-05,2025-07-05
"Video pareja dcto",2025-07-05,1155,1331,1.15238095,,CLP,1819,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.40420736,56.84375,1366.64162284,,,441,35,12,7,4,3,,2025-07-05,2025-07-05
"Video Viral TikTok",2025-07-05,3032,3558,1.17348285,,CLP,3622,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",59,4.18774592,24.30872483,1017.9876335,,,1040,195,84,44,29,19,,2025-07-05,2025-07-05
"Video explicando servicio corto",2025-07-05,1088,1160,1.06617647,,CLP,1016,"7 días tras clic o 1 día tras visualización",26,4.13793103,21.16666667,875.86206897,,,390,259,184,125,65,53,,2025-07-05,2025-07-05
