"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito",Compras,"Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Arica y Parinacota Region",9,9,1,CLP,5,"7 días tras clic o 1 día tras visualización",1,22.22222222,2.5,555.55555556,,,,3,,,,,,2025-07-04,2025-07-04
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-07-04,"Bío Bío Region",1155,1309,1.13333333,CLP,1816,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.5210084,55.03030303,1387.31856379,,,,441,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Aysén Region",15,15,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,,9,,,,,,2025-07-04,2025-07-04
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Bío Bío Region",1,1,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Antofagasta Region",25,25,1,CLP,16,"7 días tras clic o 1 día tras visualización",1,4,16,640,,,,11,,,,,,2025-07-04,2025-07-04
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-04,"Araucanía Region",2485,2970,1.19517103,CLP,3516,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",43,3.63636364,32.55555556,1183.83838384,,,,836,,,,,,2025-07-04,2025-07-04
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-04,"Los Ríos Region",38,40,1.05263158,CLP,34,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.5,34,850,,,,14,,,,,,2025-07-04,2025-07-04
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-04,"Araucanía Region",1294,1683,1.30061824,CLP,3155,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.43612597,76.95121951,1874.62863933,,,,321,,,,,,2025-07-04,2025-07-04
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-04,"Los Ríos Region",16,18,1.125,CLP,29,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.55555556,29,1611.11111111,,,,4,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Santiago Metropolitan Region",12,12,1,CLP,16,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,,1,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Magallanes y la Antártica Chilena Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Bío Bío Region",4,4,1,CLP,3,"7 días tras clic o 1 día tras visualización",,25,3,750,,,,1,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Araucanía Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Valparaíso Region",3,3,1,CLP,7,"7 días tras clic o 1 día tras visualización",1,33.33333333,7,2333.33333333,,,,3,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Los Ríos Region",3,4,1.33333333,CLP,11,"7 días tras clic o 1 día tras visualización",,0,0,2750,,,,3,,,,,,2025-07-04,2025-07-04
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-04,"Araucanía Region",1,1,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2000,,,,1,,,,,,2025-07-04,2025-07-04
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-07-04,"Bío Bío Region",72,74,1.02777778,CLP,98,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.7027027,49,1324.32432432,,,,30,,,,,,2025-07-04,2025-07-04
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-04,"Maule Region",4,4,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,,,,,,,2025-07-04,2025-07-04
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-07-04,"Los Ríos Region",55,60,1.09090909,CLP,57,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.66666667,57,950,,,,20,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Magallanes y la Antártica Chilena Region",10,11,1.1,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,636.36363636,,,,3,,,,,,2025-07-04,2025-07-04
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-07-04,"Los Ríos Region",1068,1211,1.13389513,CLP,1699,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,2.97274979,47.19444444,1402.97274979,,,,435,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Atacama Region",15,15,1,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,866.66666667,,,,5,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Bío Bío Region",113,120,1.0619469,CLP,88,"7 días tras clic o 1 día tras visualización",3,4.16666667,17.6,733.33333333,,,,38,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Coquimbo Region",32,36,1.125,CLP,39,"7 días tras clic o 1 día tras visualización",,0,0,1083.33333333,,,,9,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Araucanía Region",84,90,1.07142857,CLP,102,"7 días tras clic o 1 día tras visualización",,0,0,1133.33333333,,,,25,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Los Lagos Region",102,104,1.01960784,CLP,75,"7 días tras clic o 1 día tras visualización",3,7.69230769,9.375,721.15384615,,,,35,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"O'Higgins Region",49,50,1.02040816,CLP,41,"7 días tras clic o 1 día tras visualización",1,2,41,820,,,,19,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Maule Region",70,75,1.07142857,CLP,61,"7 días tras clic o 1 día tras visualización",,1.33333333,61,813.33333333,,,,24,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Santiago Metropolitan Region",371,392,1.05660377,CLP,666,"7 días tras clic o 1 día tras visualización",12,5.6122449,30.27272727,1698.97959184,,,,134,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Tarapacá Region",9,9,1,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,777.77777778,,,,2,,,,,,2025-07-04,2025-07-04
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-07-04,"Araucanía Region",226,254,1.12389381,CLP,316,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.96850394,63.2,1244.09448819,,,,74,,,,,,2025-07-04,2025-07-04
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-04,"Araucanía Region",1,1,1,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,6000,,,,1,,,,,,2025-07-04,2025-07-04
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-04,"Los Ríos Region",2,2,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,1,,,,,,2025-07-04,2025-07-04
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Atacama Region",41,43,1.04878049,CLP,43,"7 días tras clic o 1 día tras visualización",1,6.97674419,14.33333333,1000,,,,12,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Araucanía Region",148,157,1.06081081,CLP,134,"7 días tras clic o 1 día tras visualización",9,8.91719745,9.57142857,853.50318471,,,,50,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Antofagasta Region",70,75,1.07142857,CLP,74,"7 días tras clic o 1 día tras visualización",,0,0,986.66666667,,,,20,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Bío Bío Region",174,189,1.0862069,CLP,186,"7 días tras clic o 1 día tras visualización",5,5.82010582,16.90909091,984.12698413,,,,67,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Aysén Region",9,10,1.11111111,CLP,4,"7 días tras clic o 1 día tras visualización",1,20,2,400,,,,3,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Valparaíso Region",178,190,1.06741573,CLP,173,"7 días tras clic o 1 día tras visualización",2,6.84210526,13.30769231,910.52631579,,,,65,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Arica y Parinacota Region",18,18,1,CLP,21,"7 días tras clic o 1 día tras visualización",,0,0,1166.66666667,,,,6,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",73,79,1.08219178,CLP,69,"7 días tras clic o 1 día tras visualización",1,6.32911392,13.8,873.41772152,,,,23,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-03,"Coquimbo Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Valparaíso Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-03,"Bío Bío Region",1,2,2,CLP,0,"7 días tras clic o 1 día tras visualización",,50,0,0,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-03,"Valparaíso Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Tarapacá Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,1,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Santiago Metropolitan Region",6,6,1,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,2166.66666667,,,,4,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Maule Region",1,1,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,4000,,,,1,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Coquimbo Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Bío Bío Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,1,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Araucanía Region",200,229,1.145,CLP,344,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,4.36681223,34.4,1502.18340611,,,,66,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"O'Higgins Region",117,126,1.07692308,CLP,127,"7 días tras clic o 1 día tras visualización",2,3.17460317,31.75,1007.93650794,,,,45,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",9,10,1.11111111,CLP,9,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,900,,,,3,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Coquimbo Region",68,74,1.08823529,CLP,102,"7 días tras clic o 1 día tras visualización",1,2.7027027,51,1378.37837838,,,,23,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",3,4,1.33333333,CLP,12,"7 días tras clic o 1 día tras visualización",,0,0,3000,,,,1,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Los Lagos Region",182,212,1.16483516,CLP,160,"7 días tras clic o 1 día tras visualización",5,6.60377358,11.42857143,754.71698113,,,,65,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Aysén Region",1,1,1,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,5000,,,,,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-03,"Araucanía Region",2880,3381,1.17395833,CLP,3985,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",48,2.92812777,40.25252525,1178.64537119,,,,960,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-03,"Los Ríos Region",89,99,1.11235955,CLP,79,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.02020202,39.5,797.97979798,,,,29,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-03,"Araucanía Region",1825,2301,1.26082192,CLP,4303,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,2.56410256,72.93220339,1870.05649718,,,,484,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-03,"Los Ríos Region",34,37,1.08823529,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,5.40540541,23.5,1270.27027027,,,,9,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Santiago Metropolitan Region",3,3,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,,1,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Los Lagos Region",1,2,2,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Magallanes y la Antártica Chilena Region",29,36,1.24137931,CLP,28,"7 días tras clic o 1 día tras visualización",,0,0,777.77777778,,,,11,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Bío Bío Region",2,2,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,1,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Antofagasta Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Coquimbo Region",3,3,1,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,1,,,,,,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-07-03,"Araucanía Region",26,28,1.07692308,CLP,43,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1535.71428571,,,,7,,,,,,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-03,"Araucanía Region",971,1103,1.13594233,CLP,2159,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.08250227,63.5,1957.38893926,,,,383,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-03,"Araucanía Region",1856,2407,1.296875,CLP,4740,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,2.20191109,89.43396226,1969.25633569,,,,712,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Santiago Metropolitan Region",734,812,1.10626703,CLP,903,"7 días tras clic o 1 día tras visualización",15,4.80295567,23.15384615,1112.06896552,,,,261,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Tarapacá Region",23,27,1.17391304,CLP,18,"7 días tras clic o 1 día tras visualización",,3.7037037,18,666.66666667,,,,10,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Maule Region",123,139,1.1300813,CLP,156,"7 días tras clic o 1 día tras visualización",2,5.03597122,22.28571429,1122.30215827,,,,55,,,,,,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Araucanía Region",176,182,1.03409091,CLP,134,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,6.04395604,12.18181818,736.26373626,,,,65,,,,,,2025-07-03,2025-07-03
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",2166,2379,1.09833795,CLP,2077,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",46,4.07734342,21.41237113,873.05590584,,,,762,,,,,,2025-07-03,2025-07-03
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,"Bío Bío Region",2323,2480,1.06758502,CLP,1973,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",48,4.43548387,17.93636364,795.56451613,,,,804,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-03,"Los Ríos Region",33,39,1.18181818,CLP,65,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,5.12820513,32.5,1666.66666667,,,,11,,,,,,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Valparaíso Region",192,220,1.14583333,CLP,260,"7 días tras clic o 1 día tras visualización",8,5,23.63636364,1181.81818182,,,,64,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"O'Higgins Region",110,119,1.08181818,CLP,98,"7 días tras clic o 1 día tras visualización",,3.36134454,24.5,823.52941176,,,,35,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Coquimbo Region",72,80,1.11111111,CLP,90,"7 días tras clic o 1 día tras visualización",4,5,22.5,1125,,,,23,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Bío Bío Region",176,190,1.07954545,CLP,169,"7 días tras clic o 1 día tras visualización",4,4.73684211,18.77777778,889.47368421,,,,54,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Atacama Region",25,26,1.04,CLP,24,"7 días tras clic o 1 día tras visualización",1,3.84615385,24,923.07692308,,,,9,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Araucanía Region",156,173,1.10897436,CLP,126,"7 días tras clic o 1 día tras visualización",3,5.20231214,14,728.32369942,,,,45,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Antofagasta Region",59,65,1.10169492,CLP,68,"7 días tras clic o 1 día tras visualización",2,3.07692308,34,1046.15384615,,,,20,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Aysén Region",11,13,1.18181818,CLP,9,"7 días tras clic o 1 día tras visualización",,0,0,692.30769231,,,,6,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Magallanes y la Antártica Chilena Region",22,23,1.04545455,CLP,14,"7 días tras clic o 1 día tras visualización",,0,0,608.69565217,,,,5,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Arica y Parinacota Region",17,18,1.05882353,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,555.55555556,,,,4,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Los Ríos Region",58,58,1,CLP,47,"7 días tras clic o 1 día tras visualización",1,10.34482759,7.83333333,810.34482759,,,,14,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-02,"Coquimbo Region",1,1,1,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,6000,,,,1,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-02,"Araucanía Region",1,1,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,4000,,,,1,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-02,"O'Higgins Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-02,"Araucanía Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,1,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Araucanía Region",844,937,1.11018957,CLP,1140,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,4.80256137,25.33333333,1216.6488794,,,,289,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Los Ríos Region",23,24,1.04347826,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,4.16666667,15,625,,,,6,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Los Lagos Region",186,211,1.1344086,CLP,129,"7 días tras clic o 1 día tras visualización",4,4.26540284,14.33333333,611.37440758,,,,50,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-02,"Santiago Metropolitan Region",4,6,1.5,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,,2,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Maule Region",146,161,1.10273973,CLP,131,"7 días tras clic o 1 día tras visualización",2,3.72670807,21.83333333,813.66459627,,,,45,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"O'Higgins Region",2,2,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-02,"Araucanía Region",2705,3282,1.21330869,CLP,3670,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",57,4.11334552,27.18518519,1118.2205972,,,,911,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-02,"Los Ríos Region",77,84,1.09090909,CLP,62,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.57142857,20.66666667,738.0952381,,,,31,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-02,"Araucanía Region",1519,2030,1.33640553,CLP,3594,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,2.80788177,63.05263158,1770.44334975,,,,429,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-02,"Los Ríos Region",28,34,1.21428571,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,17.64705882,7.83333333,1382.35294118,,,,9,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"Santiago Metropolitan Region",5,5,1,CLP,8,"7 días tras clic o 1 día tras visualización",1,40,4,1600,,,,1,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"Maule Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"Los Lagos Region",3,3,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,,1,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Santiago Metropolitan Region",688,783,1.1380814,CLP,964,"7 días tras clic o 1 día tras visualización",17,3.83141762,32.13333333,1231.16219668,,,,237,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"Araucanía Region",3,3,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,333.33333333,,,,,,,,,,2025-07-02,2025-07-02
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Bío Bío Region",2350,2599,1.10595745,CLP,2076,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,4.11696806,19.40186916,798.76875721,,,,793,,,,,,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,"Valparaíso Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-02,2025-07-02
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-02,"Araucanía Region",659,802,1.21699545,CLP,1676,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.24438903,93.11111111,2089.7755611,,,,252,,,,,,2025-07-02,2025-07-02
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,"Los Ríos Region",2418,2687,1.11124897,CLP,2150,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,2.8284332,28.28947368,800.14886491,,,,809,,,,,,2025-07-02,2025-07-02
