"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-24,764,819,1.07198953,CLP,719,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,5.49450549,15.97777778,877.8998779,,,279,204,152,100,57,53,2025-06-24,2025-06-24
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-24,656,750,1.14329268,CLP,1155,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.66666667,57.75,1540,,,298,24,6,3,2,2,2025-06-24,2025-06-24
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-24,1384,1707,1.2333815,CLP,2531,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,2.69478617,55.02173913,1482.7182191,,,589,72,27,18,16,14,2025-06-24,2025-06-24
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-24,55,57,1.03636364,CLP,97,"7 días tras clic o 1 día tras visualización",,0,0,1701.75438596,,,19,3,1,,,,2025-06-24,2025-06-24
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-23,1243,1387,1.11584875,CLP,1160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.60490267,23.2,836.33741889,,,481,356,242,136,76,66,2025-06-23,2025-06-23
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-23,1,1,1,CLP,4,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,4000,,,1,,,,,,2025-06-23,2025-06-23
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-23,18,19,1.05555556,CLP,27,"7 días tras clic o 1 día tras visualización",,5.26315789,27,1421.05263158,,,9,1,,,,,2025-06-23,2025-06-23
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-23,4,4,1,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,,,,,,,2025-06-23,2025-06-23
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-23,1063,1134,1.0667921,CLP,1182,"7 días tras clic o 1 día tras visualización",14,5.99647266,17.38235294,1042.32804233,,,420,303,214,139,74,65,2025-06-23,2025-06-23
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-23,1,1,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,1,,,,,,2025-06-23,2025-06-23
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-23,109,113,1.03669725,CLP,167,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,5.30973451,27.83333333,1477.87610619,,,41,31,17,8,7,6,2025-06-23,2025-06-23
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-23,548,604,1.10218978,CLP,1024,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.47682119,48.76190476,1695.36423841,,,230,16,6,3,2,2,2025-06-23,2025-06-23
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-23,43,45,1.04651163,CLP,39,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,8.88888889,9.75,866.66666667,,,22,12,10,8,5,4,2025-06-23,2025-06-23
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-23,983,1181,1.20142421,CLP,1933,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,2.37087214,69.03571429,1636.7485182,,,410,52,24,13,13,9,2025-06-23,2025-06-23
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-23,1516,1612,1.06332454,CLP,1419,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,3.72208437,23.65,880.27295285,,,535,361,253,147,74,67,2025-06-23,2025-06-23
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-23,657,738,1.12328767,CLP,869,"7 días tras clic o 1 día tras visualización",7,3.25203252,36.20833333,1177.50677507,,,187,26,8,7,4,2,2025-06-23,2025-06-23
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-23,1,1,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,1,,,,,,2025-06-23,2025-06-23
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-23,1630,1899,1.16503067,CLP,2614,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,1.73775671,79.21212121,1376.51395471,,,414,64,26,18,14,12,2025-06-23,2025-06-23
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-23,508,542,1.06692913,CLP,658,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.50553506,34.63157895,1214.02214022,,,129,11,5,3,2,2,2025-06-23,2025-06-23
"publico valdivia","Video Lluvia","campaña ventas HotBoat",2025-06-23,699,790,1.13018598,CLP,870,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.79746835,29,1101.26582278,,,191,34,18,7,5,4,2025-06-23,2025-06-23
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-23,397,444,1.11838791,CLP,645,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.6036036,40.3125,1452.7027027,,,110,15,7,6,4,2,2025-06-23,2025-06-23
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-23,6,6,1,CLP,19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,3166.66666667,,,,,,,,,2025-06-23,2025-06-23
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-22,870,979,1.12528736,CLP,1235,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.6557712,47.5,1261.49131767,,,368,47,15,7,5,4,2025-06-22,2025-06-22
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-22,145,190,1.31034483,CLP,602,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.10526316,150.5,3168.42105263,,,61,9,5,3,2,2,2025-06-22,2025-06-22
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-22,150,171,1.14,CLP,253,"7 días tras clic o 1 día tras visualización",2,4.67836257,31.625,1479.53216374,,,77,9,1,,,,2025-06-22,2025-06-22
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-22,86,97,1.12790698,CLP,204,"7 días tras clic o 1 día tras visualización",1,2.06185567,102,2103.09278351,,,38,4,3,,,,2025-06-22,2025-06-22
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-22,1076,1159,1.07713755,CLP,1255,"7 días tras clic o 1 día tras visualización",26,6.47109577,16.73333333,1082.83002588,,,471,336,263,175,97,80,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-22,184,211,1.14673913,CLP,300,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.79146919,37.5,1421.80094787,,,78,12,2,2,2,2,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-22,22,23,1.04545455,CLP,412,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,8.69565217,206,17913.04347826,,,11,1,1,1,1,,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-22,1714,1816,1.05950992,CLP,1468,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,5.56167401,14.53465347,808.37004405,,,719,530,409,286,155,135,2025-06-22,2025-06-22
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-22,823,953,1.15795869,CLP,1287,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,5.77124869,23.4,1350.47219307,,,345,291,198,147,82,74,2025-06-22,2025-06-22
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-22,241,262,1.08713693,CLP,664,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.81679389,66.4,2534.35114504,,,114,10,3,2,2,1,2025-06-22,2025-06-22
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-22,1307,1422,1.08798776,CLP,1392,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",18,3.93811533,24.85714286,978.90295359,,,534,387,285,193,93,84,2025-06-22,2025-06-22
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-22,41,45,1.09756098,CLP,96,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,6.66666667,32,2133.33333333,,,16,1,1,1,1,1,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-22,133,149,1.12030075,CLP,217,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.04026846,24.11111111,1456.37583893,,,35,3,,,,,2025-06-22,2025-06-22
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-22,111,120,1.08108108,CLP,198,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,5.83333333,28.28571429,1650,,,41,7,3,2,1,1,2025-06-22,2025-06-22
"publico valdivia","Video Lluvia","campaña ventas HotBoat",2025-06-22,951,1053,1.10725552,CLP,1264,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",18,4.27350427,28.08888889,1200.37986705,,,272,49,26,18,12,9,2025-06-22,2025-06-22
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-22,423,483,1.14184397,CLP,566,"7 días tras clic o 1 día tras visualización",12,7.86749482,14.89473684,1171.8426501,,,130,27,13,11,6,4,2025-06-22,2025-06-22
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-22,107,129,1.20560748,CLP,266,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.42635659,38,2062.01550388,,,29,5,,,,,2025-06-22,2025-06-22
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-22,17,18,1.05882353,CLP,73,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,5.55555556,73,4055.55555556,,,6,,,,,,2025-06-22,2025-06-22
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-21,939,1155,1.23003195,CLP,1549,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.85714286,46.93939394,1341.12554113,,,438,62,19,11,6,5,2025-06-21,2025-06-21
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-21,436,564,1.29357798,CLP,756,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,7.26950355,18.43902439,1340.42553191,,,223,178,134,99,63,59,2025-06-21,2025-06-21
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-21,147,201,1.36734694,CLP,496,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,1.49253731,165.33333333,2467.66169154,,,62,2,,,,,2025-06-21,2025-06-21
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-21,163,196,1.20245399,CLP,371,"7 días tras clic o 1 día tras visualización",3,4.08163265,46.375,1892.85714286,,,82,10,1,1,1,1,2025-06-21,2025-06-21
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-21,139,163,1.17266187,CLP,307,"7 días tras clic o 1 día tras visualización",1,1.8404908,102.33333333,1883.43558282,,,70,10,3,2,2,2,2025-06-21,2025-06-21
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-21,223,251,1.12556054,CLP,289,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.78884462,41.28571429,1151.39442231,,,109,15,5,4,3,3,2025-06-21,2025-06-21
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-21,4,4,1,CLP,7,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,25,7,1750,,,2,,,,,,2025-06-21,2025-06-21
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-21,1112,1208,1.08633094,CLP,831,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,4.8013245,14.32758621,687.91390728,,,456,325,237,159,84,73,2025-06-21,2025-06-21
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-21,878,957,1.08997722,CLP,1208,"7 días tras clic o 1 día tras visualización",19,5.2246604,24.16,1262.27795193,,,351,242,188,129,72,63,2025-06-21,2025-06-21
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-21,1152,1223,1.06163194,CLP,1182,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,5.64186427,17.13043478,966.47587899,,,472,333,236,171,92,83,2025-06-21,2025-06-21
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-21,9,9,1,CLP,10,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1111.11111111,,,6,,,,,,2025-06-21,2025-06-21
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-21,23,26,1.13043478,CLP,37,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1423.07692308,,,10,1,,,,,2025-06-21,2025-06-21
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-21,6,6,1,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2500,,,2,,,,,,2025-06-21,2025-06-21
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-21,9,9,1,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,11.11111111,15,1666.66666667,,,2,1,1,1,1,1,2025-06-21,2025-06-21
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-21,96,112,1.16666667,CLP,101,"7 días tras clic o 1 día tras visualización",1,6.25,14.42857143,901.78571429,,,24,11,6,6,3,3,2025-06-21,2025-06-21
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-21,14,15,1.07142857,CLP,14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,933.33333333,,,2,,,,,,2025-06-21,2025-06-21
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-21,299,365,1.22073579,CLP,481,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.56164384,37,1317.80821918,,,144,12,6,1,1,1,2025-06-21,2025-06-21
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-20,417,530,1.27098321,CLP,866,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.45283019,66.61538462,1633.96226415,,,205,31,9,5,5,4,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,78,88,1.12820513,CLP,135,"7 días tras clic o 1 día tras visualización",1,7.95454545,19.28571429,1534.09090909,,,34,5,1,1,1,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,27,30,1.11111111,CLP,91,"7 días tras clic o 1 día tras visualización",1,6.66666667,45.5,3033.33333333,,,11,1,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,695,750,1.07913669,CLP,1103,"7 días tras clic o 1 día tras visualización",11,4.53333333,32.44117647,1470.66666667,,,257,204,163,100,58,49,2025-06-20,2025-06-20
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-20,18,21,1.16666667,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.76190476,44,2095.23809524,,,11,2,,,,,2025-06-20,2025-06-20
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,1632,1712,1.04901961,CLP,1463,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,3.79672897,22.50769231,854.55607477,,,629,477,328,196,98,87,2025-06-20,2025-06-20
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-20,517,622,1.20309478,CLP,1597,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,4.18006431,61.42307692,2567.52411576,,,237,28,8,6,3,2,2025-06-20,2025-06-20
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-20,11,11,1,CLP,49,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,4454.54545455,,,3,1,,,,,2025-06-20,2025-06-20
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,928,995,1.07219828,CLP,1221,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,5.12562814,23.94117647,1227.13567839,,,387,311,234,150,78,74,2025-06-20,2025-06-20
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-20,95,114,1.2,CLP,219,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,7.89473684,24.33333333,1921.05263158,,,44,9,4,1,1,1,2025-06-20,2025-06-20
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-20,115,132,1.14782609,CLP,265,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,4.54545455,44.16666667,2007.57575758,,,62,4,2,2,2,2,2025-06-20,2025-06-20
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-20,39,40,1.02564103,CLP,207,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,5175,,,14,3,,,,,2025-06-20,2025-06-20
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-20,30,31,1.03333333,CLP,190,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.22580645,190,6129.03225806,,,11,3,,,,,2025-06-20,2025-06-20
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-20,92,109,1.18478261,CLP,185,"7 días tras clic o 1 día tras visualización",2,6.42201835,26.42857143,1697.24770642,,,24,5,3,2,2,2,2025-06-20,2025-06-20
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-20,64,71,1.109375,CLP,118,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1661.97183099,,,14,3,1,1,1,,2025-06-20,2025-06-20
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,717,817,1.13947001,CLP,1212,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,5.75275398,25.78723404,1483.47613219,,,338,275,201,135,78,67,2025-06-20,2025-06-20
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-20,55,73,1.32727273,CLP,215,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.36986301,215,2945.20547945,2,107.5,17,2,2,2,2,,2025-06-20,2025-06-20
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-19,109,122,1.11926606,CLP,176,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.45901639,58.66666667,1442.62295082,,,25,3,2,1,1,1,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,87,114,1.31034483,CLP,265,"7 días tras clic o 1 día tras visualización",3,5.26315789,44.16666667,2324.56140351,,,26,5,1,1,1,1,2025-06-19,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,1240,1386,1.11774194,CLP,1308,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,3.82395382,24.67924528,943.72294372,,,445,325,223,141,67,60,2025-06-19,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,522,588,1.12643678,CLP,956,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,6.12244898,26.55555556,1625.85034014,,,198,161,108,67,44,38,2025-06-19,2025-06-19
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-19,33,40,1.21212121,CLP,56,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1400,,,6,1,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,45,46,1.02222222,CLP,74,"7 días tras clic o 1 día tras visualización",1,6.52173913,24.66666667,1608.69565217,,,16,1,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,12,17,1.41666667,CLP,42,"7 días tras clic o 1 día tras visualización",1,11.76470588,21,2470.58823529,,,8,1,1,1,1,1,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,1107,1201,1.08491418,CLP,1827,"7 días tras clic o 1 día tras visualización",24,6.32805995,24.03947368,1521.23230641,,,429,297,210,123,61,55,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-19,8,8,1,CLP,12,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1500,,,4,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-19,1,1,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,2310,2531,1.095671,CLP,2735,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,4.62267878,23.37606838,1080.60055314,,,855,648,469,301,152,134,2025-06-19,2025-06-19
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-19,226,244,1.07964602,CLP,319,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.04918033,63.8,1307.37704918,,,101,14,4,2,2,2,2025-06-19,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,1305,1408,1.0789272,CLP,1644,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.62215909,32.23529412,1167.61363636,2,822,496,360,278,168,81,73,2025-06-19,2025-06-19
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-19,8,8,1,CLP,23,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2875,,,5,1,,,,,2025-06-19,2025-06-19
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-19,98,118,1.20408163,CLP,261,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.54237288,87,2211.86440678,,,41,3,1,,,,2025-06-19,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,521,591,1.13435701,CLP,1199,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.87648054,70.52941176,2028.76480541,,,168,20,8,3,3,3,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-19,21,21,1,CLP,19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,904.76190476,,,6,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-19,31,32,1.03225806,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1375,,,6,3,,,,,2025-06-19,2025-06-19
"publico valdivia","Video Lluvia","campaña ventas HotBoat",2025-06-19,13,17,1.30769231,CLP,22,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1294.11764706,,,5,1,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1071,1188,1.1092437,CLP,1759,"7 días tras clic o 1 día tras visualización",20,4.54545455,32.57407407,1480.63973064,,,372,266,187,117,61,56,2025-06-18,2025-06-18
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,49,54,1.10204082,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.85185185,44,814.81481481,,,9,8,6,3,2,2,2025-06-18,2025-06-18
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,11,11,1,CLP,61,"7 días tras clic o 1 día tras visualización",,9.09090909,61,5545.45454545,,,6,1,1,1,,,2025-06-18,2025-06-18
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-18,1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-18,2025-06-18
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1485,1672,1.12592593,CLP,1979,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,4.36602871,27.10958904,1183.61244019,,,577,468,344,190,87,80,2025-06-18,2025-06-18
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-18,1,1,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,,,,,,,2025-06-18,2025-06-18
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1434,1682,1.17294282,CLP,1971,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,4.8156956,24.33333333,1171.81926278,,,499,441,314,193,109,100,2025-06-18,2025-06-18
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,1659,1836,1.10669078,CLP,1942,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,4.19389978,25.22077922,1057.73420479,,,567,456,354,204,95,86,2025-06-18,2025-06-18
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,921,1152,1.25081433,CLP,1881,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.69097222,60.67741935,1632.8125,,,323,44,18,14,12,9,2025-06-18,2025-06-18
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,42,50,1.19047619,CLP,54,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1080,,,16,14,9,7,4,4,2025-06-17,2025-06-17
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,15,19,1.26666667,CLP,23,"7 días tras clic o 1 día tras visualización",,0,0,1210.52631579,,,6,,,,,,2025-06-17,2025-06-17
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-17,1,2,2,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-17,2025-06-17
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,1446,1619,1.11964039,CLP,2063,"7 días tras clic o 1 día tras visualización",36,6.42371834,19.83653846,1274.2433601,,,574,432,319,209,111,102,2025-06-17,2025-06-17
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,1661,1985,1.19506321,CLP,2151,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.8790932,27.93506494,1083.62720403,2,1075.5,600,479,362,232,124,113,2025-06-17,2025-06-17
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-17,2,3,1.5,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1666.66666667,,,1,,,,,,2025-06-17,2025-06-17
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,2074,2305,1.11137898,CLP,2079,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.38177874,20.58415842,901.95227766,,,791,631,480,284,133,117,2025-06-17,2025-06-17
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,2110,2200,1.04265403,CLP,2006,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,4.09090909,22.28888889,911.81818182,,,764,596,454,296,137,117,2025-06-17,2025-06-17
